trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
191,1157741884,3.8868,24.0254,24.3378,80.81
192,6241978,14.1476,4.1062,14.7315,16.18
193,1495708274,-6.3959,-22.4165,23.3110,254.08
194,2069105461,-4.2678,22.1895,22.5962,100.89
195,1935215579,-16.4229,-13.5502,21.2913,219.53
196,308753312,1.0669,-21.9970,22.0229,272.78
197,1488616161,-13.1726,19.0658,23.1737,124.64
198,1021232476,7.1621,-8.3230,10.9804,310.71
199,462428344,-8.5412,-9.1431,12.5119,226.95
200,1298577636,4.3519,18.2691,18.7803,76.60
201,998238865,-15.7754,10.3657,18.8762,146.69
202,931497899,-3.4644,18.7498,19.0672,100.47
203,1270389764,-5.1380,9.6992,10.9760,117.91
204,1422490582,23.1216,-5.9871,23.8842,345.48
205,400899221,1.9111,8.4933,8.7056,77.32
206,1163728502,10.2281,0.7007,10.2521,3.92
207,1213693297,-0.6177,-11.7353,11.7516,266.99
208,889508640,-12.9620,4.0324,13.5748,162.72
209,1436806507,-20.1895,-10.2348,22.6355,206.88
210,464697717,-17.0912,-3.4312,17.4323,191.35
211,981350525,10.9482,5.5764,12.2865,26.99
212,680504515,4.6984,-22.6271,23.1098,281.73
213,584507256,-19.1070,-11.7675,22.4400,211.63
214,950205300,10.8864,10.4215,15.0706,43.75
215,573021699,11.9503,-14.0549,18.4486,310.37
216,531864009,-0.9739,-9.5267,9.5763,264.16
217,926381592,23.4744,-2.0087,23.5601,355.11
218,1970973622,-12.5336,3.4481,12.9992,164.62
219,1569984797,-16.6814,-7.9933,18.4977,205.60
220,1637064117,-19.4166,14.4415,24.1983,143.36
221,1844681915,-0.0496,-11.5219,11.5220,269.75
222,1386034599,-18.3937,-11.1024,21.4847,211.11
223,2129874253,-21.0152,-4.5727,21.5069,192.28
224,502489030,11.0078,8.2277,13.7428,36.78
225,284146667,-8.8360,-0.4928,8.8497,183.19
226,1436616532,8.5992,-17.2287,19.2555,296.52
227,1678905676,13.8582,0.2942,13.8613,1.22
228,795851856,-7.1691,-9.5081,11.9080,232.98
229,1622101932,4.2849,12.6728,13.3776,71.32
230,838634495,-0.8471,8.1463,8.1903,95.94
231,1250434577,-21.7700,1.5525,21.8253,175.92
232,2128353470,20.2652,-0.5370,20.2723,358.48
233,779812996,4.7051,8.4459,9.6680,60.88
234,1488660880,-5.5238,-11.9870,13.1985,245.26
235,1547491625,7.8555,7.5087,10.8669,43.71
236,1022881516,9.2540,6.6716,11.4082,35.79
237,2106793033,8.8854,-4.8232,10.1101,331.51
238,2010337436,-7.0056,9.1239,11.5033,127.52
239,1014655231,-7.6258,-3.7908,8.5160,206.43
240,1641978502,-24.8321,-4.0708,25.1635,189.31
241,130426287,-7.0677,-18.0599,19.3936,248.63
242,276834251,-1.7086,8.6209,8.7886,101.21
243,280768005,19.5033,-5.9743,20.3978,342.97
244,1909976254,-9.3573,21.4489,23.4012,113.57
245,529720402,11.3530,20.2200,23.1891,60.69
246,477237369,11.4530,20.4725,23.4583,60.78
247,1569218369,5.8043,12.5984,13.8712,65.26
248,545502974,-5.1828,13.3607,14.3308,111.20
249,1496083762,5.7505,7.1091,9.1437,51.03
250,1403351570,-13.2815,-9.8891,16.5588,216.67
251,1529855367,-20.5143,0.6322,20.5240,178.23
252,1665126186,-11.7762,-10.0700,15.4946,220.53
253,1598731326,15.1742,1.4570,15.2440,5.48
